hash,report_date,item_total
33877f99b6f5c619650e4b6b624cf23066a7eea2d804e4b107bce26945c98e46,2023_08_01,1
df2d8bf835bd76a207afc3641d584d6124c4243d649f5294aa1ce3d5af4ffc6b,2023_08_08,47
67812274685fd2594222af1f8f161fca9796f2117fac110a751fe46cb18c3efc,2023_08_15,4
dd099738313371a5bf98ecc86def6d065cb77b3e1dcfde50f42b877d6c6e3ef9,2023_08_22,26
94988e0cc2632dfc0abb339ea9fe8a966d602a47e732b3134c463e020c08b283,2023_08_29,2
a974a8270f0d73b2614d35bedc52c8d8be9a7964c40853eefb01246a1a873f82,2023_09_05,2
8c5ff2b1ed3201ef368c9de190c6ec123d076877424b7037c7867a63fe704d06,2023_09_12,23
4cd6724d07368c0fd059815310563afcf970cbcf4446050ee45c6124a0efbced,2023_09_19,13
972be31b1e8de1b2b89e861b147c063a8ce0dfa9ca7265869a4e06607519cf4d,2023_09_26,2
a61801e8ae3831c704969b08a7233c6ce5e3b35d036a2f8363a28c8b29fce66e,2023_10_03,5
c962729a515079c25b281885d3905e6d9239bfdba5ab3513d9d1d433381447b4,2023_10_10,77
f75937e22ebe6d897b4bd8953903ce5b2acc2b73dea0c0f01249ea162290949e,2023_10_17,18
62c989f454041a4eb78e24e3f76c42383e72e90178e6aef0ccca38d3329a7eba,2023_10_24,3
444ff6f46aca52eed681f8317b763e3db10f57148982da4aa5efc82cf134b623,2023_10_31,4
4998adaa6b2d6716af71abc306dc0c0a586c47f727b5033f6a96c0ccbc5d00b6,2023_11_07,4
9260db643d1c910cbdee64caef491d8aed0f327c8f2822ad04b927d2a782d17e,2023_11_14,37
0f66dc5b787846f35feaba4f884e8b9a45397625dda5f34cb17049fa19dc59bc,2023_11_21,4
ed732707b3fd19e310a4744bdc5627af3bf556421a7394bf2f34b557275f3ca3,2023_11_28,1
bf1afe00dbbac8a63a3145aad3c329d1cfbba1388ee32ddb8e8a53acd351a376,2023_12_05,6
38745391b2c3a52f62d1992f598a20dae5c6811ee77122f44464cfa93d11a26d,2023_12_12,29
e0809c811a917d7a9f032ffef41f4e747e463163a74255d4539c0e93ca25a72d,2023_12_19,1
c0d723ca1a840203def226b3d6b23496210fc6523b69641e394c8ee1337c7f77,2023_12_26,1
f539e1d12ee5fd2aa776f042ff0c48398c46cba7f8287ed5ce99ca99c7c96ef5,2024_01_02,0
7bb9a63251f3879c177369533460b1e05c5a52bd14823d4c47e6e278347f88ea,2024_01_09,40
64b91faafbd07fb32e597090aa6f806ee2a61699e61973df21ad8a4c556482f3,2024_01_16,6
0ff22fbcbbdc7c53dafa6f75d1cd06f2e2b3fb9df2a66604e31e399fac730bf3,2024_01_23,10
4e6bd9e725b347994bd226e4e4beee7a67d73aa74e8750ed1142b58a23d3b399,2024_01_30,2
8b7d76b3767180b2ccd1d2b9cd27f6acbcef014500c6c077e3260ba011c00164,2024_02_06,0
20ae1a4e9619ad8c1fd1e39f8b96d0a71ec4855dc675f4019fc3f1c6d6de058a,2024_02_13,43
184697c7df9dcac7d604e1d1d7dbd6c98659bf337a8b60f1e2159d4036a3e1dc,2024_02_20,2
f92a520e047aa70477aae8cc307a9047c884ca1fb00eb6319037a68d7beda195,2024_02_27,11
41a2e3e217253c855bbb907df3e99d29c95f1d689b7023b68f68ff7e4720f4e1,2024_03_05,3
5c5161e993b887289324f11d15a25fc0719145822983bdb9f2fbb5e6a6c05228,2024_03_12,43
e94ce2b4a2faa7ae8af1f51224d21d75c5606b3c44b461d6c2615842f8908ef3,2024_03_19,2
edcbe97ff2577a972d3024013129d81344cfaa60073e89c0d2e9846e41789ddb,2024_03_26,9
c1fb3ceb558c42143d0fd9184efe1b14cb480a96ba6420e69bf80b24549c0e8e,2024_04_02,4
8552e6c81a72cddaaa2c1ba70da533788125f4f94ac913515ee1aaea49f82fa3,2024_04_09,75
65a67a2baeaf3c020db23eb09032e311775c601e7b76ccd3faedd7ee6eabe391,2024_04_16,3
9dc0b04c28d54b99498ea020cc833ee0079f155bb96083c8ce68cb6de357d1b5,2024_04_23,17
05b60d835fa66761b9a70eeeda945ecf612e32d05afc1aaf9135188e69916972,2024_04_30,3
932b45bc6f46951fc3c071132670ab1c857e093d993a2e28d1cae40d086694eb,2024_01_09,40
052d9d1465232327837838195df4f87f888e7f0bb0e339e60c62edf874a71118,2024_05_07,2
8cbb30127bc248f3f2724dfeb0fbb35f55254fcd5be7daa5bc8f464b3295e2b9,2024_05_14,53
02be5095838144fad86cf7a355a36fd4035eeeb1e6d1d1d3c6d0db145321751c,2024_05_21,8
6791a1290bfcec9548b96ce45088cfdb475b7293977d8836b7b3c4474fbadf81,2024_05_21,5
